Species	Genus	Family	Order	Class	Phylum	Subkingdom	Kingdom	Empire
Nitzschia sp.	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia sp.	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Caloneis sp.	Caloneis	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Caloneis sp.	Caloneis	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Caloneis sp.	Caloneis	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cocconeis sp.	Cocconeis	Cocconeidaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cocconeis sp.	Cocconeis	Cocconeidaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Parlibellus hamulifer	Parlibellus	Berkeleyaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Caloneis sp.	Caloneis	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Halamphora sp.	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Caloneis sp.	Caloneis	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cymatosira lorenziana	Cymatosira	Cymatosiraceae	Cymatosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cymatosira lorenziana	Cymatosira	Cymatosiraceae	Cymatosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Lambertocellus africana	Lambertocellus	Cymatosiraceae	Cymatosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Leyanella probus	Leyanella	Cymatosiraceae	Cymatosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Leyanella probus	Leyanella	Cymatosiraceae	Cymatosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Leyanella pauciporis	Leyanella	Cymatosiraceae	Cymatosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Leyanella arenaria	Leyanella	Cymatosiraceae	Cymatosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia catenaborealis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia catenaborealis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia catenaborealis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia catenaborealis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia catenaborealis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia catenaborealis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia catenaborealis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia catenaborealis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia catenaborealis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia catenaborealis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia catenaborealis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia catenaborealis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sacoense	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium promontorium	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium promontorium	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium promontorium	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium promontorium	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium hitchcockii	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sacoense	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium lowei	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium lowei	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium promontorium	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium promontorium	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium hitchcockii	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sp. I5R15	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium dilatatum	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium tumescens	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium potapovii	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sp. J6R15	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium dilatatum	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium bisulcatum	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium bisulcatum	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium productum	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sacoense	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sacoense	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sacoense	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sacoense	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium dilatatum	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sacoense	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium potapovii	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sp 6	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sp 6	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium dilatatum	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium affine	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sp 1	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium dilatatum	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium dilatatum	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium affine	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sp 1	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sacoense	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium longiceps	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sp 6	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sp 1	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium dilatatum	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium longiceps	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium longiceps	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sp 1	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sacoense	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sp 6	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium sp 6	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Neidium lowei	Neidium	Neidiaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
